participant,bin,electrode,P1,N1,EPN,LPP
vp03,NegMinNeut,F6,-0.41074,-0.15938,0.65626,0.10889
vp03,NegMinNeut,F8,-0.49074,-0.33757,-0.055025,-0.3474
vp03,NegMinNeut,FT8,-0.87418,-0.57911,-0.10138,-0.39788
vp03,NegMinNeut,FC6,-0.29765,-0.15195,0.43476,0.054073
vp03,NegMinNeut,FC4,-0.2649,-0.079562,0.77296,0.3179
vp03,NegMinNeut,FC2,0.15629,0.36405,1.1031,0.56543
vp03,NegMinNeut,FCz,0.087158,0.35912,0.96248,0.54365
vp03,NegMinNeut,Cz,-0.10674,0.23406,0.38201,0.195
vp03,NegMinNeut,C2,-0.2406,0.068642,0.48906,0.24571
vp03,NegMinNeut,C4,-0.19916,-0.017797,0.24061,-0.052075
vp03,NegMinNeut,C6,-0.016025,0.3435,0.35266,0.221
vp03,NegMinNeut,T8,-0.15592,0.11207,-0.19745,-0.09785
vp03,NegMinNeut,TP8,0.0082359,0.26378,-0.46898,-0.15719
vp03,NegMinNeut,CP6,0.031072,0.12168,-0.055164,-0.20032
vp03,NegMinNeut,CP4,-0.11788,-0.11812,-0.19864,-0.18742
vp03,NegMinNeut,CP2,0.0087767,0.084944,-0.0092222,-0.052775
vp03,NegMinNeut,P2,0.32487,0.207,-0.26482,0.0053269
vp03,NegMinNeut,P4,0.15853,0.14338,-0.15148,0.070785
vp03,NegMinNeut,P6,0.18311,0.16305,-0.20861,0.063515
vp03,NegMinNeut,P8,0.14925,0.19864,-0.45315,-0.11332
vp03,NegMinNeut,P10,0.077315,-0.052088,-1.1378,-0.50132
vp03,NegMinNeut,PO8,0.061891,-0.21085,-1.1558,-0.70753
vp03,NegMinNeut,PO4,0.12143,-0.093107,-0.74384,-0.22145
vp03,NegMinNeut,O2,0.19864,-0.052514,-0.98746,-0.51989
vp04,localizer,Fp1,0.24205,1.5389,-0.13629,-0.21934
vp04,localizer,AF7,0.23866,1.4028,-0.11331,-0.21816
vp04,localizer,AF3,0.35684,1.3586,-0.26904,-0.38407
vp04,localizer,F1,0.043965,1.4511,-0.11782,-0.35299
vp04,localizer,F3,-0.0088799,1.3618,-0.14763,-0.39881
vp04,localizer,F5,0.13617,1.3392,-0.25558,-0.3769
vp04,localizer,F7,0.44767,0.96214,-0.25339,-0.2258
